2023-03-06 03:16:28 PM | Book Movie tickets  | ATWC0001 ATWM080323 Avatar | Movie slot booked Successfully
2023-03-06 03:16:32 PM | Get Customer Movie Schedule | ATWC0001 | Atwater Movies : ,Avatar,ATWM080323
2023-03-06 03:17:25 PM | Book Movie tickets  | ATWC0001 ATWE120323 Pushup | Movie slot booked Successfully
2023-03-06 03:17:28 PM | Get Customer Movie Schedule | ATWC0001 | Atwater Movies : ,Avatar,ATWM080323,Pushup,ATWE120323
2023-03-06 03:36:15 PM | Get Customer Movie Schedule | ATWC0001 | Atwater Movies : ,Avatar,ATWM080323,Pushup,ATWE120323
2023-03-06 03:47:33 PM | Book Movie tickets  | ATWC0001 ATWM080323 Avatar | Movie slot booked Successfully
2023-03-06 03:48:18 PM | Get Customer Movie Schedule | ATWC0001 | Atwater Movies : ,Avatar,ATWM080323
2023-03-06 03:50:37 PM | Exchange movie tickets | ATWC0001 ATWM080323 Avatar VERM090323 Avatar | This operation cannot be perfomed by the customer ATWC0001 because he/she neither booked the tickets nor canceled it
2023-03-06 03:50:46 PM | Get Customer Movie Schedule | ATWC0001 | Atwater Movies : ,Avatar,ATWM080323,Verdun Movies : ,Avatar,VERM090323
2023-03-06 04:04:35 PM | Get Customer Movie Schedule | ATWC0001 | 
2023-03-06 04:04:58 PM | Book Movie tickets  | ATWC0001 ATWM080323 Avatar | Movie booked Successfully
2023-03-06 04:05:02 PM | Get Customer Movie Schedule | ATWC0001 | Atwater Movies : ,Avatar,ATWM080323
2023-03-06 04:21:11 PM | Get Customer Movie Schedule | ATWC0001 | 
2023-03-06 04:26:40 PM | Get Customer Movie Schedule | ATWC0001 | Atwater Movies : ,Avatar,ATWM120323,ATWM120323,ATWM120323,ATWM120323,ATWM120323
2023-03-06 04:26:55 PM | Cancel Movie tickets  | ATWC0001 ATWM120323 | the Movie booking has been cancelled for the customer ATWC0001
2023-03-06 04:26:57 PM | Get Customer Movie Schedule | ATWC0001 | Atwater Movies : ,Avatar,ATWM120323,ATWM120323
2023-03-06 04:33:41 PM | Get Customer Movie Schedule | ATWC0001 | Atwater Movies : ,Avatar,ATWM120323-6
2023-03-06 04:33:53 PM | Cancel Movie tickets  | ATWC0001 ATWM120323 | the Movie booking has been cancelled for the customer ATWC0001
2023-03-06 04:33:55 PM | Get Customer Movie Schedule | ATWC0001 | Atwater Movies : ,Avatar,ATWM120323-3
