2023-03-06 04:01:00 PM Admin | Add Movie | ATWM080323-Avatar-50 | Success | New Movie added Successfully
2023-03-06 04:02:23 PM Customer VERA0000 | Get movie slot | VERA0000 | Success | 
2023-03-06 04:03:37 PM Admin | List Movie availability | Avatar | Success | ATWM080323 50
2023-03-06 04:04:35 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 04:04:58 PM Customer ATWC0001 | Book a movie | ATWC0001 ATWM080323 Avatar | Success | Movie booked Successfully
2023-03-06 04:05:02 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Atwater Movies : -Avatar-ATWM080323
2023-03-06 04:11:51 PM Admin | Add Movie | ATWM020323-Avatar-50 | Failed | You have exceed your week limit for adding the movie
2023-03-06 04:12:22 PM Customer ATWC0001 | Book a movie | ATWC0001 ATWM020323 Avatar | Failed | There are no Movie slot for Avatar
2023-03-06 04:12:49 PM Admin | Add Movie | ATWM0120323-Avatar-50 | Failed | You have exceed your week limit for adding the movie
2023-03-06 04:13:11 PM Customer ATWC0001 | Book a movie | ATWC0001 ATWM120323 Avatar | Failed | There are no Movie slot for Avatar
2023-03-06 04:13:35 PM Admin | List Movie availability | Avatar | Success | 
2023-03-06 04:13:55 PM Admin | Add Movie | ATWM120323-Avatar-50 | Success | New Movie added Successfully
2023-03-06 04:14:00 PM Admin | List Movie availability | Avatar | Success | ATWM120323 50
2023-03-06 04:14:25 PM Customer ATWC0001 | Book a movie | ATWC0001 ATWM120323 Avatar | Success | Movie booked Successfully
2023-03-06 04:14:31 PM Admin | List Movie availability | Avatar | Success | ATWM120323 45
2023-03-06 04:17:09 PM Admin | Add Movie | ATWM120323-Avatar-50 | Success | New Movie added Successfully
2023-03-06 04:17:23 PM Admin | List Movie availability | Avatar | Success | ATWM120323 50
2023-03-06 04:19:41 PM Admin | Add Movie | ATWM120323-Avatar-50 | Success | New Movie added Successfully
2023-03-06 04:20:06 PM Customer ATWC0001 | Book a movie | ATWC0001 ATWM120323 Avatar | Success | Movie booked Successfully
2023-03-06 04:20:13 PM Admin | List Movie availability | Avatar | Success | ATWM120323 45
2023-03-06 04:20:23 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Atwater Movies : -Avatar-ATWM120323-ATWM120323-ATWM120323-ATWM120323-ATWM120323
2023-03-06 04:21:11 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 04:25:27 PM Admin | Add Movie | ATWM120323-Avatar-50 | Success | New Movie added Successfully
2023-03-06 04:25:34 PM Admin | List Movie availability | Avatar | Success | ATWM120323 50
2023-03-06 04:25:51 PM Customer ATWC0001 | Book a movie | ATWC0001 ATWM120323 Avatar | Success | Movie booked Successfully
2023-03-06 04:26:02 PM Admin | List Movie availability | Avatar | Success | ATWM120323 45
2023-03-06 04:26:16 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Atwater Movies : -Avatar-ATWM120323-ATWM120323-ATWM120323-ATWM120323-ATWM120323
2023-03-06 04:26:29 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Atwater Movies : -Avatar-ATWM120323-ATWM120323-ATWM120323-ATWM120323-ATWM120323
2023-03-06 04:26:40 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Atwater Movies : -Avatar-ATWM120323-ATWM120323-ATWM120323-ATWM120323-ATWM120323
2023-03-06 04:26:55 PM Customer ATWC0001 | Cancel an movie Ticket | ATWC0001 ATWM120323 | Success | the Movie booking has been cancelled for the customer ATWC0001
2023-03-06 04:26:57 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Atwater Movies : -Avatar-ATWM120323-ATWM120323
2023-03-06 04:32:38 PM Admin | Add Movie | ATWM120323-Avatar-50 | Success | New Movie added Successfully
2023-03-06 04:32:43 PM Admin | List Movie availability | Avatar | Success | ATWM120323 50
2023-03-06 04:32:58 PM Customer ATWC0001 | Book a movie | ATWC0001 ATWM120323 Avatar | Success | Movie booked Successfully
2023-03-06 04:33:03 PM Admin | List Movie availability | Avatar | Success | ATWM120323 44
2023-03-06 04:33:20 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Atwater Movies : -Avatar-ATWM120323-6
2023-03-06 04:33:41 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Atwater Movies : -Avatar-ATWM120323-6
2023-03-06 04:33:53 PM Customer ATWC0001 | Cancel an movie Ticket | ATWC0001 ATWM120323 | Success | the Movie booking has been cancelled for the customer ATWC0001
2023-03-06 04:33:55 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Atwater Movies : -Avatar-ATWM120323-3
2023-03-06 04:34:14 PM Admin | List Movie availability | Avatar | Success | ATWM120323 47
2023-03-06 04:36:42 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Atwater Movies : -Avatar-ATWM120323-3
2023-03-06 04:37:30 PM Customer ATWC0001 | Cancel an movie booking | ATWC0001 ATWM120323 | Success | the Movie booking has been cancelled for the customer ATWC0001
2023-03-06 04:37:30 PM Customer ATWC0001 | Book a movie | ATWC0001 VERM120323 Avatar | Success | Movie booked Successfully
2023-03-06 04:37:30 PM Customer ATWC0001 | Cancel an movie Ticket | ATWC0001 VERM120323 | Failed | the Movie booking has been cancelled for the customer ATWC0001
2023-03-06 04:37:30 PM Customer ATWC0001 | Exchanged an Movie ticket | ATWC0001 ATWM120323 Avatar VERM120323 Avatar | Failed | the Movie booking has been cancelled for the customer ATWC0001 that's why exchange operation cannot be performed
2023-03-06 04:38:29 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Atwater Movies : -Avatar-ATWM120323-1
2023-03-06 04:43:42 PM Admin | List Movie availability | Avatar | Success | ATWM120323 49
2023-03-06 04:58:55 PM Admin | Add Movie | ATWM120323-Avatar-50 | Success | New Movie added Successfully
2023-03-06 04:59:03 PM Admin | List Movie availability | Avatar | Success | ATWM120323 50
2023-03-06 05:00:34 PM Customer VERC0001 | Get movie slot | VERC0001 | Success | ATWM120323-0
2023-03-06 05:03:35 PM Admin | List Movie availability | Avatar | Success | ATWM120323 50
2023-03-06 05:10:01 PM Admin | Add Movie | ATWM120323-Avatar-50 | Success | New Movie added Successfully
2023-03-06 05:10:34 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | ATWM120323-0
2023-03-06 05:13:25 PM Admin | Add Movie | ATWM120323-Avatar-50 | Success | New Movie added Successfully
2023-03-06 05:13:31 PM Admin | List Movie availability | Avatar | Success | ATWM120323 50
2023-03-06 05:13:40 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 05:13:52 PM Customer ATWC0001 | Book a movie | ATWC0001 ATWM120323 Avatar | Success | Movie booked Successfully
2023-03-06 05:13:54 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Atwater Movies : -Avatar-ATWM120323-5
2023-03-06 05:15:00 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Atwater Movies : -Avatar-ATWM120323-5
2023-03-06 05:15:54 PM Customer ATWC0001 | Cancel an movie booking | ATWC0001 ATWM120323 | Success | The Movie Ticket has been cancelled for the customer ATWC0001
2023-03-06 05:15:54 PM Customer ATWC0001 | Book a movie | ATWC0001 VERM130323 Avatar | Success | Movie booked Successfully
2023-03-06 05:15:54 PM Customer ATWC0001 | Exchanged an Movie ticket | ATWC0001 ATWM120323 Avatar VERM130323 Avatar | Success | The Movie Ticket has been exchanged for the customer ATWC0001 from old movie id ATWM120323 to VERM130323
2023-03-06 05:16:04 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Verdun Movies : -Avatar-VERM130323-5
2023-03-06 05:16:26 PM Admin | List Movie availability | Avatar | Success | ATWM120323 51
2023-03-06 05:22:07 PM Admin | Add Movie | ATWM120323-Avatar-50 | Success | New Movie added Successfully
2023-03-06 05:22:40 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 05:22:51 PM Customer ATWC0001 | Book a movie | ATWC0001 ATWM120323 Avatar | Success | Movie booked Successfully
2023-03-06 05:22:54 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Atwater Movies : -Avatar-ATWM120323-5
2023-03-06 05:23:11 PM Admin | List Movie availability | Avatar | Success | ATWM120323 45
2023-03-06 05:23:20 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Atwater Movies : -Avatar-ATWM120323-5
2023-03-06 05:24:20 PM Customer ATWC0001 | Cancel an movie booking | ATWC0001 ATWM120323 | Success | The Movie Ticket has been cancelled for the customer ATWC0001
2023-03-06 05:24:20 PM Customer ATWC0001 | Book a movie | ATWC0001 VERM130323 Avatar | Success | Movie booked Successfully
2023-03-06 05:24:20 PM Customer ATWC0001 | Exchanged an Movie ticket | ATWC0001 ATWM120323 Avatar VERM130323 Avatar | Success | The Movie Ticket has been exchanged for the customer ATWC0001 from old movie id ATWM120323 to VERM130323
2023-03-06 05:24:25 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Atwater Movies : -Avatar-ATWM120323-1-Verdun Movies : -Avatar-VERM130323-4
2023-03-06 05:25:01 PM Admin | List Movie availability | Avatar | Success | ATWM120323 49
2023-03-06 07:44:16 PM Admin | Add Movie | ATWM120323-Avatar-50 | Success | New Movie added Successfully
2023-03-06 07:44:22 PM Admin | List Movie availability | Avatar | Success | ATWM120323 50
2023-03-06 07:45:57 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 07:46:10 PM Customer ATWC0001 | Book a movie | ATWC0001 ATWM120323 Avatar | Success | Movie booked Successfully
2023-03-06 07:46:12 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Atwater Movies : -Avatar-ATWM120323-5
2023-03-06 07:47:00 PM Admin | List Movie availability | Avatar | Success | ATWM120323 45
2023-03-06 07:47:07 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Atwater Movies : -Avatar-ATWM120323-5
2023-03-06 07:48:30 PM Customer ATWC0001 | Cancel an movie booking | ATWC0001 ATWM120323 | Success | The Movie Ticket has been cancelled for the customer ATWC0001
2023-03-06 07:48:30 PM Customer ATWC0001 | Book a movie | ATWC0001 VERM130323 Avatar | Success | Movie booked Successfully
2023-03-06 07:48:30 PM Customer ATWC0001 | Exchanged an Movie ticket | ATWC0001 ATWM120323 Avatar VERM130323 Avatar | Success | The Movie Ticket has been exchanged for the customer ATWC0001 from old movie id ATWM120323 to VERM130323
2023-03-06 07:48:59 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Verdun Movies : -Avatar-VERM130323-6
2023-03-06 07:49:21 PM Admin | List Movie availability | Avatar | Success | ATWM120323 51
2023-03-06 07:57:56 PM Admin | Add Movie | ATWM120323-Avatar-50 | Success | New Movie added Successfully
2023-03-06 07:58:28 PM Customer ATWC0001 | Book a movie | ATWC0001 ATWM120323 Avatar | Success | Movie booked Successfully
2023-03-06 07:58:29 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Atwater Movies : -Avatar-ATWM120323-5
2023-03-06 07:59:03 PM Customer ATWC0001 | Cancel an movie booking | ATWC0001 ATWM120323 | Success | The Movie Ticket has been cancelled for the customer ATWC0001
2023-03-06 07:59:03 PM Customer ATWC0001 | Book a movie | ATWC0001 VERM130323 Avatar | Success | Movie booked Successfully
2023-03-06 07:59:03 PM Customer ATWC0001 | Exchanged an Movie ticket | ATWC0001 ATWM120323 Avatar VERM130323 Avatar | Success | The Movie Ticket has been exchanged for the customer ATWC0001 from old movie id ATWM120323 to VERM130323
2023-03-06 07:59:06 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Verdun Movies : -Avatar-VERM130323-6
2023-03-06 08:05:31 PM Admin | Add Movie | ATWM120323-Avatar-50 | Success | New Movie added Successfully
2023-03-06 08:06:02 PM Customer ATWC0001 | Book a movie | ATWC0001 ATWM120323 Avatar | Success | Movie booked Successfully
2023-03-06 08:06:52 PM Customer ATWC0001 | Cancel an movie booking | ATWC0001 ATWM120323 | Success | The Movie Ticket has been cancelled for the customer ATWC0001
2023-03-06 08:06:52 PM Customer ATWC0001 | Book a movie | ATWC0001 VERM130323 Avatar | Success | Movie booked Successfully
2023-03-06 08:06:52 PM Customer ATWC0001 | Exchanged an Movie ticket | ATWC0001 ATWM120323 Avatar VERM130323 Avatar | Success | The Movie Ticket has been exchanged for the customer ATWC0001 from old movie id ATWM120323 to VERM130323
2023-03-06 08:06:55 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Verdun Movies : -Avatar-VERM130323-5
2023-03-06 08:07:31 PM Customer ATWC0001 | Cancel an movie booking | ATWC0001 VERM130323 | Failed | The Movie is not booked by ATWC0001 so he/she cannot book more then booked 
2023-03-06 08:07:31 PM Customer ATWC0001 | Book a movie | ATWC0001 ATWM120323 Avatar | Success | Movie booked Successfully
2023-03-06 08:07:31 PM Customer ATWC0001 | Cancel an movie Ticket | ATWC0001 ATWM120323 | Success | the Movie booking has been cancelled for the customer ATWC0001
2023-03-06 08:07:31 PM Customer ATWC0001 | Exchanged an Movie ticket | ATWC0001 VERM130323 Avatar ATWM120323 Avatar | Failed | The Movie is not booked by ATWC0001 so he/she cannot book more then booked  that's why exchange operation cannot be performed
2023-03-06 08:07:36 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Verdun Movies : -Avatar-VERM130323-5
2023-03-06 08:15:20 PM Admin | List Movie availability | Avatar | Success | ATWM120323 50
2023-03-06 08:35:48 PM Admin | Add Movie | ATWM120323-Avatar-50 | Success | New Movie added Successfully
2023-03-06 08:36:44 PM Customer ATWC0001 | Book a movie | ATWC0001 ATWM120323 Avatar | Success | Movie booked Successfully
2023-03-06 08:36:46 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Atwater Movies : -Avatar-ATWM120323-5
2023-03-06 08:37:27 PM Customer ATWC0001 | Cancel an movie booking | ATWC0001 ATWM120323 | Failed | The Movie is not booked by ATWC0001 so he/she cannot exchange more then booked 
2023-03-06 08:37:27 PM Customer ATWC0001 | Book a movie | ATWC0001 VERM130323 Avatar | Success | Movie booked Successfully
2023-03-06 08:37:27 PM Customer ATWC0001 | Cancel an movie Ticket | ATWC0001 VERM130323 | Failed | the Movie booking has been cancelled for the customer ATWC0001
2023-03-06 08:37:27 PM Customer ATWC0001 | Exchanged an Movie ticket | ATWC0001 ATWM120323 Avatar VERM130323 Avatar | Failed | The Movie is not booked by ATWC0001 so he/she cannot exchange more then booked  that's why exchange operation cannot be performed
2023-03-06 08:37:41 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Atwater Movies : -Avatar-ATWM120323-5
2023-03-06 08:38:27 PM Customer ATWC0001 | Cancel an movie booking | ATWC0001 ATWM120323 | Success | The Movie Ticket has been cancelled for the customer ATWC0001
2023-03-06 08:38:27 PM Customer ATWC0001 | Book a movie | ATWC0001 VERM130323 Avatar | Success | Movie booked Successfully
2023-03-06 08:38:27 PM Customer ATWC0001 | Exchanged an Movie ticket | ATWC0001 ATWM120323 Avatar VERM130323 Avatar | Success | The Movie Ticket has been exchanged for the customer ATWC0001 from old movie id ATWM120323 to VERM130323
2023-03-06 08:38:29 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Verdun Movies : -Avatar-VERM130323-3
2023-04-10 09:40:40 PM Admin | Add Movie | ATWM110423-Avtar-90 | Success | New Movie added Successfully
2023-04-10 09:48:00 PM Admin | Add Movie | ATWM120423-Avtar-80 | Success | New Movie added Successfully
2023-04-10 10:23:33 PM Admin | Add Movie | ATWM130423-Avtar-80 | Success | New Movie added Successfully
2023-04-10 11:15:49 PM Admin | Add Movie | ATWM150423-Avtar-80 | Success | New Movie added Successfully
2023-04-10 11:16:11 PM Admin | List Movie availability | Avtar | Success | ATWM150423 80
