2023-03-06 04:01:26 PM Admin | List Movie availability | Avatar | Success | 
2023-03-06 04:02:23 PM Customer VERA0000 | Get movie slot | VERA0000 | Success | 
2023-03-06 04:04:06 PM Admin | List Movie availability | Avatar | Success | 
2023-03-06 04:04:24 PM Admin | Add Movie | VERM090323-Avatar-60 | Success | New Movie added Successfully
2023-03-06 04:04:35 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 04:05:02 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 04:20:23 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 04:21:11 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 04:26:15 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 04:26:29 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 04:26:40 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 04:26:57 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 04:33:20 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 04:33:41 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 04:33:55 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 04:35:02 PM Admin | Add Movie | VERM150323-Avatar-80 | Failed | You have exceed your week limit for adding the movie
2023-03-06 04:35:08 PM Admin | List Movie availability | Avatar | Success | 
2023-03-06 04:36:24 PM Admin | Add Movie | VERM120323-Avatar-80 | Success | New Movie added Successfully
2023-03-06 04:36:28 PM Admin | List Movie availability | Avatar | Success | VERM120323 80
2023-03-06 04:36:42 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 04:37:30 PM Customer ATWC0001 | Book a movie | ATWC0001 VERM120323 Avatar | Success | Movie booked Successfully
2023-03-06 04:37:30 PM Customer ATWC0001 | Cancel an movie Ticket | ATWC0001 VERM120323 | Success | the Movie booking has been cancelled for the customer ATWC0001
2023-03-06 04:38:29 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 04:44:05 PM Admin | List Movie availability | Avatar | Success | VERM120323 80
2023-03-06 04:59:28 PM Admin | Add Movie | VERM130323-Avatar-60 | Success | New Movie added Successfully
2023-03-06 04:59:33 PM Admin | List Movie availability | Avatar | Success | VERM130323 60
2023-03-06 05:00:31 PM Customer VERC0001 | Book a movie | VERC0001 VERM130323 Avatar | Success | Movie booked Successfully
2023-03-06 05:00:34 PM Customer VERC0001 | Get movie slot | VERC0001 | Success | Verdun Movies : -Avatar-VERM130323-5
2023-03-06 05:01:30 PM Customer VERC0001 | Cancel an movie booking | VERC0001 VERM130323 | Success | the Movie booking has been cancelled for the customer VERC0001
2023-03-06 05:10:34 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 05:13:40 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 05:13:54 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 05:14:12 PM Admin | List Movie availability | Avatar | Success | 
2023-03-06 05:14:26 PM Admin | Add Movie | VERM130323-Avatar-40 | Success | New Movie added Successfully
2023-03-06 05:14:33 PM Admin | List Movie availability | Avatar | Success | VERM130323 40
2023-03-06 05:15:00 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 05:15:54 PM Customer ATWC0001 | Book a movie | ATWC0001 VERM130323 Avatar | Success | Movie booked Successfully
2023-03-06 05:16:04 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Verdun Movies : -Avatar-VERM130323-5
2023-03-06 05:17:02 PM Admin | List Movie availability | Avatar | Success | VERM130323 35
2023-03-06 05:22:27 PM Admin | Add Movie | VERM130323-Avatar-40 | Success | New Movie added Successfully
2023-03-06 05:22:40 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 05:22:54 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 05:23:20 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 05:24:20 PM Customer ATWC0001 | Book a movie | ATWC0001 VERM130323 Avatar | Success | Movie booked Successfully
2023-03-06 05:24:25 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Verdun Movies : -Avatar-VERM130323-4
2023-03-06 05:24:45 PM Admin | List Movie availability | Avatar | Success | VERM130323 36
2023-03-06 07:45:16 PM Admin | Add Movie | VERM130323-Avatar-40 | Success | New Movie added Successfully
2023-03-06 07:45:22 PM Admin | List Movie availability | Avatar | Success | VERM130323 40
2023-03-06 07:45:57 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 07:46:12 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 07:47:07 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 07:47:32 PM Admin | List Movie availability | Avatar | Success | VERM130323 40
2023-03-06 07:48:30 PM Customer ATWC0001 | Book a movie | ATWC0001 VERM130323 Avatar | Success | Movie booked Successfully
2023-03-06 07:48:59 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Verdun Movies : -Avatar-VERM130323-6
2023-03-06 07:58:12 PM Admin | Add Movie | VERM130323-Avatar-40 | Success | New Movie added Successfully
2023-03-06 07:58:29 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 07:59:03 PM Customer ATWC0001 | Book a movie | ATWC0001 VERM130323 Avatar | Success | Movie booked Successfully
2023-03-06 07:59:06 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Verdun Movies : -Avatar-VERM130323-6
2023-03-06 08:06:23 PM Admin | Add Movie | VERM130323-Avatar-40 | Success | New Movie added Successfully
2023-03-06 08:06:52 PM Customer ATWC0001 | Book a movie | ATWC0001 VERM130323 Avatar | Success | Movie booked Successfully
2023-03-06 08:06:55 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Verdun Movies : -Avatar-VERM130323-5
2023-03-06 08:07:31 PM Customer ATWC0001 | Cancel an movie booking | ATWC0001 VERM130323 | Failed | The Movie is not booked by ATWC0001 so he/she cannot book more then booked 
2023-03-06 08:07:36 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Verdun Movies : -Avatar-VERM130323-5
2023-03-06 08:15:30 PM Admin | List Movie availability | Avatar | Success | VERM130323 35
2023-03-06 08:36:07 PM Admin | Add Movie | VERM130323-Avatar-40 | Success | New Movie added Successfully
2023-03-06 08:36:46 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 08:37:27 PM Customer ATWC0001 | Book a movie | ATWC0001 VERM130323 Avatar | Success | Movie booked Successfully
2023-03-06 08:37:27 PM Customer ATWC0001 | Cancel an movie Ticket | ATWC0001 VERM130323 | Success | the Movie booking has been cancelled for the customer ATWC0001
2023-03-06 08:37:41 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
2023-03-06 08:38:27 PM Customer ATWC0001 | Book a movie | ATWC0001 VERM130323 Avatar | Success | Movie booked Successfully
2023-03-06 08:38:29 PM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | Verdun Movies : -Avatar-VERM130323-3
2023-04-11 01:45:51 AM Customer ATWC0001 | Get movie slot | ATWC0001 | Success | 
